,Experiment,Species,Replicate,Sampling date,Day in experiment,Unreliable population size,Selected for clonal inference
NP_Ct_r01_2016_12_05_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,05/12/2016,83,no,yes
NP_Ct_r01_2016_12_05_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,05/12/2016,83,no,yes
NP_Ct_r01_2017_02_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2017,146,no,yes
NP_Ct_r01_2017_02_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2017,146,no,yes
NP_Ct_r01_2017_02_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2017,146,no,yes
NP_Ct_r01_2017_02_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2017,146,no,yes
NP_Ct_r01_2017_03_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/03/2017,174,no,yes
NP_Ct_r01_2017_04_03_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,03/04/2017,202,no,yes
NP_Ct_r01_2017_05_01_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,01/05/2017,230,yes,no
NP_Ct_r01_2017_08_21_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,21/08/2017,244,no,no
NP_Ct_r01_2017_09_18_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,18/09/2017,272,no,yes
NP_Ct_r01_2017_10_16_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,16/10/2017,NA,NA,no
NP_Ct_r01_2017_10_16_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,16/10/2017,NA,NA,no
NP_Ct_r01_2017_10_16_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,16/10/2017,NA,NA,no
NP_Ct_r01_2017_10_16_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,16/10/2017,NA,NA,no
NP_Ct_r01_2017_11_14_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,14/11/2017,329,no,yes
NP_Ct_r01_2017_11_14_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,14/11/2017,329,no,yes
NP_Ct_r01_2017_11_14_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,14/11/2017,329,no,yes
NP_Ct_r01_2017_11_14_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,14/11/2017,329,no,yes
NP_Ct_r01_2017_12_12_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,12/12/2017,357,no,no
NP_Ct_r01_2018_01_09_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,09/01/2018,385,no,no
NP_Ct_r01_2018_02_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2018,413,no,no
NP_Ct_r01_2018_02_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2018,413,no,no
NP_Ct_r01_2018_02_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2018,413,no,no
NP_Ct_r01_2018_02_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/02/2018,413,no,no
NP_Ct_r01_2018_03_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/03/2018,441,no,no
NP_Ct_r01_2018_03_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/03/2018,441,no,no
NP_Ct_r01_2018_03_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/03/2018,441,no,no
NP_Ct_r01_2018_03_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,06/03/2018,441,no,no
NP_Ct_r01_2018_04_03_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,03/04/2018,469,no,no
NP_Ct_r01_2018_04_03_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,03/04/2018,469,no,no
NP_Ct_r01_2018_04_03_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,03/04/2018,469,no,no
NP_Ct_r01_2018_04_03_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,03/04/2018,469,no,no
NP_Ct_r01_2018_05_01_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,01/05/2018,497,no,no
NP_Ct_r01_2018_05_01_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,01/05/2018,497,no,no
NP_Ct_r01_2018_05_01_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,01/05/2018,497,no,no
NP_Ct_r01_2018_05_01_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,01/05/2018,497,no,no
NP_Ct_r01_2018_05_29_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,29/05/2018,525,yes,no
NP_Ct_r01_2018_06_26_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,26/06/2018,553,no,yes
NP_Ct_r01_2018_07_24_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,24/07/2018,581,no,yes
NP_Ct_r01_2018_08_21_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,21/08/2018,609,no,yes
NP_Ct_r01_2018_09_18_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,18/09/2018,637,no,yes
NP_Ct_r01_2018_10_16_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,16/10/2018,665,no,yes
NP_Ct_r01_2018_11_13_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,13/11/2018,693,no,yes
NP_Ct_r01_2018_12_11_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,11/12/2018,721,no,yes
NP_Ct_r01_2019_01_08_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,08/01/2019,749,yes,no
NP_Ct_r01_2019_02_04_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,04/02/2019,776,no,yes
NP_Ct_r01_2019_02_25_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,25/02/2019,797,no,yes
NP_Ct_r01_2019_03_04_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,04/03/2019,804,no,no
NP_Ct_r01_2019_03_04_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,04/03/2019,804,no,no
NP_Ct_r01_2019_03_04_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,04/03/2019,804,no,no
NP_Ct_r01_2019_03_04_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,1,04/03/2019,804,no,no
NP_Ct_r02_2016_10_11_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,11/10/2016,28,no,yes
NP_Ct_r02_2016_10_11_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,11/10/2016,28,no,yes
NP_Ct_r02_2016_10_11_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,11/10/2016,28,no,yes
NP_Ct_r02_2016_10_11_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,11/10/2016,28,no,yes
NP_Ct_r02_2016_11_15_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,15/11/2016,NA,NA,no
NP_Ct_r02_2016_11_15_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,15/11/2016,NA,NA,no
NP_Ct_r02_2016_11_15_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,15/11/2016,NA,NA,no
NP_Ct_r02_2016_11_15_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,15/11/2016,NA,NA,no
NP_Ct_r02_2016_12_05_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,05/12/2016,83,no,yes
NP_Ct_r02_2016_12_05_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,05/12/2016,83,no,yes
NP_Ct_r02_2016_12_05_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,05/12/2016,83,no,yes
NP_Ct_r02_2016_12_05_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,05/12/2016,83,no,yes
NP_Ct_r02_2017_02_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/02/2017,146,no,yes
NP_Ct_r02_2017_02_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/02/2017,146,no,yes
NP_Ct_r02_2017_02_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/02/2017,146,no,yes
NP_Ct_r02_2017_02_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/02/2017,146,no,yes
NP_Ct_r02_2017_03_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/03/2017,174,no,yes
NP_Ct_r02_2017_04_03_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,03/04/2017,202,no,yes
NP_Ct_r02_2017_05_01_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,01/05/2017,230,yes,no
NP_Ct_r02_2017_08_21_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,21/08/2017,244,no,yes
NP_Ct_r02_2017_09_18_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,18/09/2017,272,no,yes
NP_Ct_r02_2017_10_16_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,16/10/2017,NA,NA,no
NP_Ct_r02_2017_10_16_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,16/10/2017,NA,NA,no
NP_Ct_r02_2017_10_16_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,16/10/2017,NA,NA,no
NP_Ct_r02_2017_10_16_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,16/10/2017,NA,NA,no
NP_Ct_r02_2017_11_14_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,14/11/2017,329,no,yes
NP_Ct_r02_2017_11_14_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,14/11/2017,329,no,yes
NP_Ct_r02_2017_11_14_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,14/11/2017,329,no,yes
NP_Ct_r02_2017_11_14_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,14/11/2017,329,no,yes
NP_Ct_r02_2017_12_12_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,12/12/2017,357,no,no
NP_Ct_r02_2018_01_09_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,09/01/2018,385,no,no
NP_Ct_r02_2018_01_09_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,09/01/2018,385,no,no
NP_Ct_r02_2018_01_09_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,09/01/2018,385,no,no
NP_Ct_r02_2018_01_09_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,09/01/2018,385,no,no
NP_Ct_r02_2018_02_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/02/2018,413,no,no
NP_Ct_r02_2018_03_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/03/2018,441,no,no
NP_Ct_r02_2018_03_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/03/2018,441,no,no
NP_Ct_r02_2018_03_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/03/2018,441,no,no
NP_Ct_r02_2018_03_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,06/03/2018,441,no,no
NP_Ct_r02_2018_04_03_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,03/04/2018,469,no,no
NP_Ct_r02_2018_04_03_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,03/04/2018,469,no,no
NP_Ct_r02_2018_04_03_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,03/04/2018,469,no,no
NP_Ct_r02_2018_04_03_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,03/04/2018,469,no,no
NP_Ct_r02_2018_05_01_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,01/05/2018,497,no,no
NP_Ct_r02_2018_05_01_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,01/05/2018,497,no,no
NP_Ct_r02_2018_05_01_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,01/05/2018,497,no,no
NP_Ct_r02_2018_05_01_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,01/05/2018,497,no,no
NP_Ct_r02_2018_05_29_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,29/05/2018,525,yes,no
NP_Ct_r02_2018_06_26_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,26/06/2018,553,no,yes
NP_Ct_r02_2018_07_24_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,24/07/2018,581,no,yes
NP_Ct_r02_2018_08_21_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,21/08/2018,609,no,yes
NP_Ct_r02_2018_09_18_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,18/09/2018,637,no,yes
NP_Ct_r02_2018_10_16_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,16/10/2018,665,no,yes
NP_Ct_r02_2018_11_13_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,13/11/2018,693,no,yes
NP_Ct_r02_2018_12_11_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,11/12/2018,721,no,yes
NP_Ct_r02_2019_01_08_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,08/01/2019,749,yes,no
NP_Ct_r02_2019_02_04_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,04/02/2019,776,no,yes
NP_Ct_r02_2019_02_25_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,25/02/2019,797,no,yes
NP_Ct_r02_2019_03_04_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,04/03/2019,804,no,no
NP_Ct_r02_2019_03_04_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,04/03/2019,804,no,no
NP_Ct_r02_2019_03_04_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,04/03/2019,804,no,no
NP_Ct_r02_2019_03_04_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,2,04/03/2019,804,no,no
NP_Ct_r03_2016_10_11_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,11/10/2016,28,no,yes
NP_Ct_r03_2016_10_11_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,11/10/2016,28,no,yes
NP_Ct_r03_2016_10_11_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,11/10/2016,28,no,yes
NP_Ct_r03_2016_10_11_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,11/10/2016,28,no,yes
NP_Ct_r03_2016_11_15_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,15/11/2016,NA,NA,no
NP_Ct_r03_2016_11_15_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,15/11/2016,NA,NA,no
NP_Ct_r03_2016_11_15_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,15/11/2016,NA,NA,no
NP_Ct_r03_2016_11_15_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,15/11/2016,NA,NA,no
NP_Ct_r03_2016_12_05_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,05/12/2016,83,no,yes
NP_Ct_r03_2016_12_05_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,05/12/2016,83,no,yes
NP_Ct_r03_2016_12_05_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,05/12/2016,83,no,yes
NP_Ct_r03_2016_12_05_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,05/12/2016,83,no,yes
NP_Ct_r03_2017_02_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2017,146,no,yes
NP_Ct_r03_2017_02_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2017,146,no,yes
NP_Ct_r03_2017_02_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2017,146,no,yes
NP_Ct_r03_2017_02_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2017,146,no,yes
NP_Ct_r03_2017_03_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/03/2017,174,no,yes
NP_Ct_r03_2017_04_03_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,03/04/2017,202,no,yes
NP_Ct_r03_2017_05_01_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,01/05/2017,230,yes,no
NP_Ct_r03_2017_08_21_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,21/08/2017,244,no,yes
NP_Ct_r03_2017_09_18_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,18/09/2017,272,no,yes
NP_Ct_r03_2017_10_16_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,16/10/2017,NA,NA,no
NP_Ct_r03_2017_10_16_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,16/10/2017,NA,NA,no
NP_Ct_r03_2017_10_16_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,16/10/2017,NA,NA,no
NP_Ct_r03_2017_10_16_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,16/10/2017,NA,NA,no
NP_Ct_r03_2017_11_14_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,14/11/2017,329,no,yes
NP_Ct_r03_2017_11_14_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,14/11/2017,329,no,yes
NP_Ct_r03_2017_11_14_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,14/11/2017,329,no,yes
NP_Ct_r03_2017_11_14_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,14/11/2017,329,no,yes
NP_Ct_r03_2017_12_12_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,12/12/2017,357,no,no
NP_Ct_r03_2018_01_09_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,09/01/2018,385,no,no
NP_Ct_r03_2018_02_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2018,413,no,no
NP_Ct_r03_2018_02_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2018,413,no,no
NP_Ct_r03_2018_02_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2018,413,no,no
NP_Ct_r03_2018_02_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/02/2018,413,no,no
NP_Ct_r03_2018_03_06_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/03/2018,441,no,no
NP_Ct_r03_2018_03_06_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/03/2018,441,no,no
NP_Ct_r03_2018_03_06_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/03/2018,441,no,no
NP_Ct_r03_2018_03_06_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,06/03/2018,441,no,no
NP_Ct_r03_2018_04_03_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,03/04/2018,469,no,no
NP_Ct_r03_2018_04_03_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,03/04/2018,469,no,no
NP_Ct_r03_2018_04_03_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,03/04/2018,469,no,no
NP_Ct_r03_2018_04_03_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,03/04/2018,469,no,no
NP_Ct_r03_2018_05_01_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,01/05/2018,497,no,no
NP_Ct_r03_2018_05_01_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,01/05/2018,497,no,no
NP_Ct_r03_2018_05_01_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,01/05/2018,497,no,no
NP_Ct_r03_2018_05_01_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,01/05/2018,497,no,no
NP_Ct_r03_2018_05_29_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,29/05/2018,525,yes,no
NP_Ct_r03_2018_06_26_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,26/06/2018,553,no,yes
NP_Ct_r03_2018_07_24_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,24/07/2018,581,no,yes
NP_Ct_r03_2018_08_21_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,21/08/2018,609,no,yes
NP_Ct_r03_2018_09_18_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,18/09/2018,637,no,yes
NP_Ct_r03_2018_10_16_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,16/10/2018,665,no,yes
NP_Ct_r03_2018_11_13_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,13/11/2018,693,no,yes
NP_Ct_r03_2018_12_11_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,11/12/2018,721,no,yes
NP_Ct_r03_2019_01_08_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,08/01/2019,749,yes,no
NP_Ct_r03_2019_02_04_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,04/02/2019,776,no,yes
NP_Ct_r03_2019_02_25_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,25/02/2019,797,no,yes
NP_Ct_r03_2019_03_04_L001_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,04/03/2019,804,no,no
NP_Ct_r03_2019_03_04_L002_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,04/03/2019,804,no,no
NP_Ct_r03_2019_03_04_L003_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,04/03/2019,804,no,no
NP_Ct_r03_2019_03_04_L004_rg,bacteria_alone,Comamonas_testosteroni_HAMBI_403,3,04/03/2019,804,no,no
NP_Pf_r01_2017_10_16_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,16/10/2017,NA,NA,no
NP_Pf_r01_2017_10_16_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,16/10/2017,NA,NA,no
NP_Pf_r01_2017_10_16_L003_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,16/10/2017,NA,NA,no
NP_Pf_r01_2017_10_16_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,16/10/2017,NA,NA,no
NP_Pf_r01_2017_11_14_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,14/11/2017,NA,NA,no
NP_Pf_r01_2017_11_14_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,14/11/2017,NA,NA,no
NP_Pf_r01_2017_11_14_L003_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,14/11/2017,NA,NA,no
NP_Pf_r01_2017_11_14_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,14/11/2017,NA,NA,no
NP_Pf_r01_2017_12_12_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,12/12/2017,NA,NA,no
NP_Pf_r01_2017_12_12_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,12/12/2017,NA,NA,no
NP_Pf_r01_2017_12_12_L003_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,12/12/2017,NA,NA,no
NP_Pf_r01_2017_12_12_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,12/12/2017,NA,NA,no
NP_Pf_r01_2018_01_09_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,09/01/2018,NA,NA,no
NP_Pf_r01_2018_01_09_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,09/01/2018,NA,NA,no
NP_Pf_r01_2018_01_09_L003_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,09/01/2018,NA,NA,no
NP_Pf_r01_2018_01_09_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,09/01/2018,NA,NA,no
NP_Pf_r01_2018_02_06_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,06/02/2018,NA,NA,no
NP_Pf_r01_2018_02_06_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,06/02/2018,NA,NA,no
NP_Pf_r01_2018_02_06_L003_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,06/02/2018,NA,NA,no
NP_Pf_r01_2018_02_06_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,06/02/2018,NA,NA,no
NP_Pf_r01_2018_05_01_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,01/05/2018,300,no,yes
NP_Pf_r01_2018_05_01_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,01/05/2018,300,no,yes
NP_Pf_r01_2018_05_01_L003_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,01/05/2018,300,no,yes
NP_Pf_r01_2018_05_01_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,01/05/2018,300,no,yes
NP_Pf_r01_2018_06_26_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,26/06/2018,356,no,yes
NP_Pf_r01_2018_07_24_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,24/07/2018,384,no,no
NP_Pf_r01_2018_08_21_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,21/08/2018,412,no,yes
NP_Pf_r01_2018_08_21_L002_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,21/08/2018,412,no,yes
NP_Pf_r01_2018_08_21_L003_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,21/08/2018,412,no,yes
NP_Pf_r01_2018_08_21_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,21/08/2018,412,no,yes
NP_Pf_r01_2018_09_18_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,18/09/2018,440,no,yes
NP_Pf_r01_2018_10_16_L001_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,16/10/2018,468,no,yes
NP_Pf_r01_2018_11_13_L004_rg,bacteria_alone,Pseudomonas_fluorescens_SBW25,1,13/11/2018,496,no,yes
